"","X071912QCCKO1","X071912QCCKO2","X071912QCCKO3","X071912QCCTC1","X071912QCCTC2","X071912QCCTC3"
"Label","KO","KO","KO","WT","WT","WT"
"aminoimidazole carboxamide ribonucleotide","11709.72","12936.87","11867.69","16565.99","13963.89","12377.71"
"D-glucosamine-6-phosphate","73038.83","51573.52","46973.22","91424.26","53858.77","69450.88"
"alanine","25815711","28229566","25061146","35730233","35065887","27312886"
"glucose-6-phosphate","382335.5","397309.8","338952.0","526724.4","396197.3","458676.4"
"Acetylcarnitine DL","22941073","24763009","28307890","35412161","26593246","31354907"
"Thiamine pyrophosphate","103597.8","126280.4","101234.1","142903.4","124586.7","138978.3"
"acetoacetate","218547.5","268629.8","220659.1","312104.2","327438.4","224581.4"
"3-phospho-serine","278161.7","235245.3","276893.2","372777.2","281178.8","305262.9"
"6-phospho-D-gluconate","100944.84"," 84411.79"," 98198.45","112307.92","110267.33","118034.69"
"hypoxanthine","34092.73","22025.92","54375.78","57116.64","54027.70","20777.57"
"creatine"," 85463221"," 91219147"," 80727748","109004515","105892609"," 91690648"
"Carbamoyl phosphate","248590.1","272829.6","241238.6","353019.6","268171.3","282337.9"
"N-acetyl-glucosamine-1-phosphate"," 816919.0"," 840121.4"," 695727.0","1034962.0"," 839171.3"," 831981.1"
"1-Methyladenosine","14801.977"," 8626.517"," 7940.161","10030.338","10407.182"," 7684.131"
"O-acetyl-L-serine","49974.94","48805.64","46975.72","76601.57","59761.03","27412.77"
"D-glucono-?-lactone-6-phosphate","47192.87","74444.07","44503.14","52559.51","64689.60","68091.08"
"UDP-D-glucuronate","1012758.4"," 898204.9"," 779175.5","1259560.8"," 885769.1"," 851180.7"
"D-erythrose-4-phosphate","235904.6","285190.2","192733.7","268074.5","295852.6","226853.6"
"UDP-N-acetyl-glucosamine","2351488","2922562","2255024","3151236","2445152","2698371"
"Nicotinamide ribotide"," 696038.0"," 602767.2"," 363097.7","1022078.8"," 397337.6"," 411421.8"
"2,3-dihydroxybenzoic acid","107574.94"," 57977.63"," 43142.91","114640.98"," 44619.81"," 70617.07"
"D-sedoheptulose-1-7-phosphate","1119223","1306593","1246327","1543373","1206909","1252538"
"glycine","32638.48","27439.51","30016.78","48296.74","17084.41","31582.36"
"4-aminobutyrate","4489056","5153500","3216494","5086641","4617763","3835081"
"orotidine-5-phosphate","214119.8","237657.6","216440.9","212183.1","226270.7","262916.4"
"riboflavin"," 87890.78","106681.58"," 88534.57"," 84666.49","126304.57"," 84335.84"
"histidinol","14492.61","10733.10","17458.03","10405.33","21673.62","12425.11"
"Methylmalonic acid","11978605","11100932","12728358","12182726","11710572","13214514"
"S-adenosyl-L-methionine","5899941","6603540","4295894","6177156","5210482","5974681"
"pantothenate","12268229","13830336","12847159","13266461","12819581","13986720"
"deoxyinosine","10259.14","16030.01","18228.80","16576.24","11388.58","12428.22"
"taurine","49958801","48182184","48696411","51155303","49015679","48972914"
"succinate"," 9919523"," 9793973","11866982","10545668","10367790","11137050"
"aspartate","5529383","6969328","6029208","6779703","5725863","6039432"
"hydroxyproline","3097339","2708922","3032360","3155222","3098084","2533638"
"oxaloacetate","832567.9","782871.1","858441.5","827857.5","801553.3","801062.3"
"glutamate","62214407","58098842","58765305","60296375","56042332","57312014"
"cholesteryl sulfate","7310716","6781913","6307826","6675541","6340939","6584241"
"2-hydroxygluterate","639253.7","683219.5","626820.2","660658.2","611742.7","588497.4"
"cystathionine","2040907","2627503","1862587","2526270","1965274","1703085"
"leucine-isoleucine","127696117","126008654","136290242","128624107","124867637","115583470"
"Pyridoxamine","240332.6","339636.1","178997.4","266501.6","276341.3","174891.7"
"aconitate","513042.6","503336.3","510942.9","521377.6","458252.3","440988.2"
"2-Hydroxy-2-methylbutanedioic acid","571655.2","522877.5","637553.9","585297.9","519345.2","462115.6"
"Phosphorylcholine","226434174","223132274","218573583","202196742","202052065","193738021"
"p-hydroxybenzoate","2618760","2740685","2554526","1407113","2705874","2960790"
"betaine","71584396","76394261","74126581","64017991","70425753","63493692"
"deoxyguanosine","13232.654","13761.816","15164.884"," 7696.193"," 6832.673","22792.298"
"cyclic-AMP","43882.05","56911.51","73300.96","41069.14","52905.45","58716.86"
"N-acetyl-glucosamine","90809.53","95210.95","99176.78","95690.40","62832.33","89885.64"
"isocitrate","88697.36","91957.98","96323.83","95134.08","72070.47","73586.73"
"5-phosphoribosyl-1-pyrophosphate"," 9921.561"," 6110.498","19630.339","10236.623","11359.590"," 9986.661"
"lactate","113913726","108554746","106126371"," 90644572"," 97173735"," 87886976"
"Kynurenine","80377.94","64186.00","96270.35","63791.49","60557.80","77674.71"
"2,3-Diphosphoglyceric acid","16483.469","14023.479"," 6095.684"," 8264.271","11796.919","12129.264"
"homocysteine","618035.6","730101.8","654751.3","557382.8","627586.1","475753.7"
"Acetyllysine","11693689","10346632"," 8576474"," 9272059"," 9204651"," 6858805"
"putrescine","187315.60"," 40903.37"," 59887.74"," 50666.70"," 47767.90","135410.48"
