"","X071912QCCKO1","X071912QCCKO2","X071912QCCKO3","X071912QCCTC1","X071912QCCTC2","X071912QCCTC3"
"Label","KO","KO","KO","WT","WT","WT"
"Pyrophosphate","-0.9104278","-0.8945377","-0.7409029","-0.8595475","-0.8145138","-0.9393785"
"glutathione disulfide-posi","0.6681703","0.5856979","0.6438940","0.5955363","0.6316801","0.6029823"
"methylnicotinamide","-1.1853886","-0.9087088","-1.1290096","-1.0700009","-0.9654823","-1.2659220"
"Hydroxyphenylacetic acid"," 0.004954080"," 0.002044443"," 0.183626673","-0.133593815"," 0.022418212"," 0.200957186"
"asparagine","0.6697416","0.6330106","0.7025529","0.5921727","0.6508516","0.6865276"
"citrate-isocitrate","1.828875","1.809154","1.898153","1.812174","1.824445","1.822323"
"xanthosine","-0.5429880","-0.5349516","-0.4606245","-0.5477205","-0.6223389","-0.4655499"
"nicotinate","-0.9758661","-1.0867341","-1.0718486","-1.0813642","-1.0086573","-1.1436301"
"2-Aminooctanoic acid","0.3282119","0.3372323","0.4625363","0.4266516","0.3208229","0.2591068"
"cysteine","-0.08485298","-0.14233483","-0.01563168","-0.09451823","-0.12280365","-0.12750363"
"Pyroglutamic acid","0.6922859","0.7301249","0.8120782","0.7462324","0.7287201","0.6426364"
"betaine aldehyde","-0.7235375","-0.5990488","-0.6256842","-0.5990155","-0.7675127","-0.7023851"
"7-methylguanosine","-0.3491868","-0.5521154","-0.5577355","-0.4982021","-0.5004011","-0.5342947"
"Cystine","-0.12287815","-0.10570565","-0.08117668","-0.15832690","-0.11439370","-0.18196881"
"threonine","1.693450","1.717199","1.762175","1.661238","1.666396","1.707365"
"N6-Acetyl-L-lysine","1.347128","1.336806","1.234321","1.218204","1.314564","1.249725"
"Indoleacrylic acid","-0.5748647","-0.5960256","-0.5287890","-0.5471142","-0.5686980","-0.7901194"
"carnitine","1.454800","1.508427","1.493419","1.437757","1.415316","1.450772"
"deoxyribose-phosphate","-1.0388826","-1.2605779","-0.7189319","-1.1585088","-0.9534215","-0.9492456"
"anthranilate","-0.10657436","-0.10938784","-0.02265160","-0.28302979","-0.03071002","-0.13412462"
"glucose-1-phosphate","-0.4562370","-0.4791594","-0.5702965","-0.4911742","-0.6626279","-0.5394753"
"dimethylglycine","0.4987790","0.4583026","0.5354225","0.4344032","0.4741529","0.3878903"
"3-methylphenylacetic acid","-0.9261339","-0.9100244","-0.8374314","-1.1071030","-0.7558596","-1.1128691"
"acadesine","-1.600428","-1.687255","-1.602381","-1.569131","-1.891109","-1.700513"
"proline","1.610823","1.620811","1.675030","1.569702","1.568529","1.549107"
"dephospho-CoA-posi","-1.584100","-1.540252","-1.637836","-1.553173","-1.669938","-1.796927"
"glutamine","2.351569","2.368689","2.427385","2.295410","2.303121","2.322499"
"glutathione disulfide-nega","0.9939860","1.0100824","1.0078168","0.8867097","0.9007233","0.9806834"
"Imidazoleacetic acid","0.18244448","0.21646581","0.22160810","0.07330701","0.13973332","0.14432621"
"Guanidoacetic acid","-0.08508330","-0.09106394","-0.12723027","-0.17775071","-0.19754072","-0.19822130"
"2-ketohaxanoic acid","0.8588125","0.9258630","1.0423256","0.8200432","0.8938654","0.8270232"
"p-aminobenzoate","-0.23211005","-0.18304667","-0.03675021","-0.31603249","-0.24241297","-0.17463073"
"citrate","1.485604","1.503682","1.522479","1.391443","1.404239","1.420036"
"methionine","1.208722","1.201323","1.348838","1.162549","1.144854","1.159088"
"1,3-diphopshateglycerate","-0.8590300","-0.4006329","-0.7401517","-0.9267766","-0.7056257","-0.5730954"
"3-S-methylthiopropionate","-1.651320","-1.579956","-1.546306","-1.621828","-1.784097","-1.694356"
"Citraconic acid","0.9872947","1.0058774","1.0791180","0.8843152","0.9540665","0.9235833"
"folate","0.11204372","0.10801986","0.27430745","0.04043389","0.10072401","0.04324607"
"Uric acid"," 0.04722120"," 0.07017013"," 0.08351160","-0.14852786","-0.08026536"," 0.08485215"
"dihydroorotate","-0.3914255","-0.3300619","-0.1591887","-0.4364358","-0.3888112","-0.3615420"
"guanosine","-1.477787","-1.500458","-1.810981","-1.576242","-1.748624","-1.767047"
"phenylpyruvate"," 0.22559740"," 0.29030127"," 0.12477594","-0.02891276"," 0.16585905"," 0.15099310"
"tyrosine","1.537430","1.440639","1.611852","1.335697","1.466879","1.426414"
"sn-glycerol-3-phosphate"," 0.06940043"," 0.06922105"," 0.04025205","-0.03092447","-0.11870417","-0.04846617"
"adenine","1.1268663","1.0543540","1.1309496","0.9813481","1.0246230","0.9181511"
"Phenylpropiolic acid","1.487484","1.510505","1.553727","1.380871","1.386197","1.404968"
"homoserine","-1.239405","-1.208811","-1.260033","-1.327318","-1.252832","-1.606809"
"N-acetyl-glutamine"," 0.04711690"," 0.14411822"," 0.07933778","-0.06455737","-0.01249877","-0.04207962"
"deoxyadenosine","-1.488653","-1.390431","-1.251284","-1.382855","-1.871127","-1.415003"
"Methylcysteine","0.9942587","0.9797417","1.0583784","0.8827552","0.8824605","0.8440302"
"Indole-3-carboxylic acid","-0.6982589","-0.6724034","-0.5713176","-0.7938487","-0.7427686","-0.8365290"
"Methionine sulfoxide","-0.2102663","-0.1933475","-0.1154491","-0.3878622","-0.2126699","-0.3778107"
"serine","1.591109","1.606715","1.655933","1.491217","1.433550","1.492926"
"shikimate-3-phosphate","-1.2532845","-1.1809074","-0.9888204","-1.5995510","-1.1151472","-1.2395837"
"histidine","1.936449","1.936385","2.005665","1.778330","1.826069","1.825113"
"valine","1.1264149","1.0887128","1.1625377","0.9255483","1.0420394","0.9399485"
"1-Methyl-Histidine","1.263960","1.274124","1.358878","1.065346","1.173659","1.194919"
"orotate","-0.5935985","-0.4781535","-0.4184846","-0.6983865","-0.6342955","-0.6070165"
"N-acetyl-glutamate","-0.3472822","-0.1974798","-0.1965428","-0.3730492","-0.4328448","-0.4396293"
"glucosamine","0.8992620","0.9633782","0.9340676","0.7315357","0.7769104","0.7739458"
"trehalose-sucrose","0.3253546","0.3283898","0.3844942","0.1994449","0.1480352","0.1688679"
"glycolate","-1.221362","-1.212328","-1.546495","-1.432599","-1.552939","-1.474985"
"pyruvate","-0.8433549","-1.0576635","-1.1779656","-1.2559855","-1.2678704","-1.0358478"
"D-gluconate","-0.4121573","-0.3377098","-0.3531523","-0.5946616","-0.5424480","-0.5001548"
"Urea","0.4505902","0.4236495","0.5378695","0.1918901","0.2647020","0.3980089"
"S-adenosyl-L-homocysteine-nega"," 0.16108865"," 0.10289657"," 0.06328879","-0.14694886","-0.06234705","-0.03665198"
"Ng,NG-dimethyl-L-arginine","1.1183925","1.0935867","1.1698303","0.9257936","1.0044863","0.8281663"
"3-phosphoglycerate","0.4503419","0.3528194","0.3588764","0.1891610","0.1293427","0.2369515"
"guanine","-1.327981","-1.294861","-1.254825","-1.530694","-1.428121","-1.550027"
"pyridoxine","2.092205","2.014058","2.132002","1.839798","1.890422","1.885544"
"shikimate","0.9793344","0.8079305","0.9225805","0.6818461","0.6890855","0.7168822"
"quinolinate","-0.9355379","-1.0313886","-0.9655494","-1.3390269","-1.0900875","-1.1712570"
"2-dehydro-D-gluconate","-1.214074","-1.290098","-1.225785","-1.588640","-1.507329","-1.305213"
"N-acetyl-L-ornithine","0.4239912","0.4328536","0.5362835","0.1845762","0.2856504","0.2716414"
"S-ribosyl-L-homocysteine-posi","-0.06317578","-0.06028136"," 0.02377824","-0.34278099","-0.17640545","-0.24984303"
"cytosine"," 0.033595016"," 0.004693432"," 0.091865704","-0.174282674","-0.198844046","-0.155783686"
"nicotinamide","2.297826","2.243625","2.271838","2.021403","2.078284","2.042823"
"4-Pyridoxic acid","1.549591","1.531513","1.650197","1.231860","1.401581","1.399546"
"hydroxyphenylpyruvate","-0.05471441","-0.06881430"," 0.04550453","-0.29701621","-0.28954688","-0.21916454"
"Aminoadipic acid","-0.3801291","-0.3254679","-0.2673173","-0.5059421","-0.6538989","-0.5567405"
"xanthine","1.0164869","1.0672729","1.0535444","0.7385964","0.8493615","0.7928732"
"arginine","1.994031","1.931768","2.030296","1.732890","1.716585","1.749877"
"phenylalanine","1.882343","1.886943","1.946474","1.626990","1.639236","1.670176"
"glyoxylate","-0.3364154","-0.4299672","-0.4787134","-0.6935435","-0.7140280","-0.6033967"
"citrulline","0.7979664","0.8144469","0.8251867","0.5048502","0.5782886","0.5686463"
"myo-inositol","1.497564","1.473458","1.574350","1.215172","1.242208","1.301340"
"2-deoxyglucose-6-phosphate","0.6633158","0.6545947","0.7936520","0.4047554","0.5045974","0.3961573"
"ornithine","0.7433270","0.5804178","0.7418744","0.4223197","0.4285427","0.4207664"
"phosphoenolpyruvate"," 0.33140933"," 0.40626912"," 0.25006876"," 0.14026391","-0.09224592"," 0.11460041"
"uridine","-1.571656","-1.586113","-1.488160","-1.637574","-1.785488","-1.874277"
"lysine","1.581966","1.537922","1.588584","1.226877","1.288366","1.270646"
"NADPH","-1.450549","-1.590190","-1.022296","-1.604846","-1.627494","-1.421362"
"Cellobiose","-0.5536593","-0.5493183","-0.5279543","-0.8337244","-0.8608272","-0.9328406"
"Xanthurenic acid","-0.3442265","-0.3415920","-0.2662998","-0.7737899","-0.6809093","-0.5549899"
"Taurodeoxycholic acid"," 0.1871840"," 0.1069176"," 0.1430183","-0.3507436","-0.1444307","-0.1746708"
"allantoin","0.5735109","0.5765824","0.6627641","0.1959038","0.2426245","0.2426898"
